id,word_ids,korean,dutch
s-0309,ko-0380|ko-0381|ko-0389,배와 등이 아파요.,Mijn buik en rug doen pijn.
s-0310,ko-0382|ko-0383|ko-0488,심장과 피는 중요해요.,Het hart en bloed zijn belangrijk.
s-0311,ko-0384|ko-0484,피부가 깨끗해요.,De huid is schoon.
s-0312,ko-0385|ko-0488,건강이 중요해요.,Gezondheid is belangrijk.
s-0313,ko-0386|ko-0387|ko-0423,병과 감기가 있어요.,Er is ziekte en verkoudheid.
s-0314,ko-0388|ko-0136,열이 높아요.,De koorts is hoog.
s-0315,ko-0002|ko-0397,저는 슬퍼요.,Ik ben verdrietig.
s-0316,ko-0004|ko-0398,당신은 화나요.,U bent boos.
s-0317,ko-0002|ko-0399,저는 무서워요.,Ik ben bang.
s-0318,ko-0030|ko-0408,이름을 기억해요.,Ik onthoud de naam.
s-0319,ko-0030|ko-0409,이름을 잊어요.,Ik vergeet de naam.
s-0320,ko-0035|ko-0410,한국을 배워요.,Ik leer over Korea.
s-0321,ko-0038|ko-0466,이것을 이해해요.,Ik begrijp dit.
