id,korean,english,japanese,dutch,pos,topic,notes
ko-0475,예쁘다,pretty,きれいだ;かわいい,mooi,adjective,quality,
ko-0476,아름답다,beautiful,美しい,prachtig; mooi,adjective,quality,
ko-0477,귀엽다,cute,かわいい,schattig,adjective,quality,
ko-0478,쉽다,easy,易しい,gemakkelijk,adjective,quality,
ko-0479,어렵다,difficult,難しい,moeilijk,adjective,quality,
ko-0480,재미있다,interesting; fun,面白い,interessant; leuk,adjective,quality,
ko-0481,재미없다,boring,面白くない,saai,adjective,quality,
ko-0482,조용하다,quiet,静かだ,stil; rustig,adjective,quality,
ko-0483,시끄럽다,noisy,うるさい,lawaaiig,adjective,quality,
ko-0484,깨끗하다,clean,きれいだ,schoon,adjective,quality,
ko-0485,더럽다,dirty,汚い,vies,adjective,quality,
ko-0486,안전하다,safe,安全だ,veilig,adjective,quality,
ko-0487,위험하다,dangerous,危険だ,gevaarlijk,adjective,quality,
ko-0488,중요하다,important,重要だ,belangrijk,adjective,quality,
ko-0489,특별하다,special,特別だ,speciaal,adjective,quality,
ko-0490,같다,same; like,同じだ,hetzelfde; zoals,adjective,quality,
ko-0491,다르다,different,違う,anders; verschillend,adjective,quality,
ko-0492,맞다,correct,合っている,correct; juist,adjective,quality,
ko-0493,틀리다,wrong,間違っている,fout; verkeerd,adjective,quality,
ko-0494,함께,together,一緒に,samen,adverb,basic,
ko-0495,혼자,alone,一人で,alleen,adverb,basic,
ko-0496,하지만,but,しかし,maar,conjunction,basic,
ko-0497,그리고,and,そして,en,conjunction,basic,
ko-0498,그래서,so; therefore,だから,dus; daarom,conjunction,basic,
ko-0499,왜냐하면,because,なぜなら,omdat,conjunction,basic,
ko-0500,정말,really,本当に,echt,adverb,basic,
